,timestamp,target,rotation
19,1638134798,21e8,21e86aa5041b37484015a88db115f60a78ae93d6f0c1e3d861c7e1d39ef1cca8
20,1638136430,21e8,21e8306150b21f5d3fed7afed505eab8c3f60b076ed9ad866db66776c47fdbf3
21,1638136430,21e8,21e85e722a3842744603fe594ffb67424f6b0b0a94ea18901e0e960d17de56ed
22,1638136437,21e8,21e89ff747a44bdb5a9708a55ea69041fefc8c8dcd9b293ba919040a98125dfe
23,1638136437,21e8,21e834ee384652b0b3db3c3660c1a4bb3f4e45edbfd7aaf8e209260343d766a0
24,1638137002,21e8,21e8e2906dc0111e01bf71f03210d706e8acddd72f75aaaba5d2aed043a57243
25,1638137002,21e8,21e82e73c2d6051428d75ead3009268ed52a68683fab05e43f2e082ef0bc7ea1
26,1638137043,21e8a,21e8a69b1f6a147e9312ac74526dc83fa2b1ca447305a45576ee4262862c68fe
27,1638137043,21e8a,21e8a65e353b1b1837b8bd2dfe5883bd51840b1f815248385cb2a924deedd14c
28,1638137045,21e8a,21e8a00978bbf57ceb28a9b1b2f8185c893ce598b8c5a779f8e56c8870c5c86b
29,1638137045,21e8a,21e8a7abb4560f40a0e19475939bc3305832924473b40137ae408ce3d09fd35f
30,1638137046,21e8a,21e8afb07daf326a796fb0d8e630a3abb4f6f54502960c32fd45b5b5df3e6a59
31,1638137046,21e8a,21e8a548c4bfafcbbe4acc8832ddfffc1fd06b9dadd59850a1aa7ccf5d968afb
32,1638137047,21e8a,21e8ae86c29066b2cae5a877e2e8931115ce792f905c7adde1a1bb73399aebfb
33,1638137047,21e8a,21e8ac229868cd08e410e2dd616e662dd69bf486bb2bea0ed95a74395ae35689
34,1638137049,21e8a,21e8abe6a0d302367b84a5fa5fcfe031fe236b729ef1a7aa575e23363cb37fee
35,1638137049,21e8a,21e8ab71c1ecd4358221233e560ab5771229c7b7aebdecb91b3b680ccd938c35
36,1638137065,21e8a,21e8a2793efb77da2cfbb7ef92335083c89b9e4ff4d51a5564c7c92dc0371dc8
37,1638137068,21e8a,21e8a0842edec535382001f33119105f9a83bc0c8eeb0d38f54b7d6932ee39f0
38,1638137170,21e8,21e834da2a18f8fc8e9b8758f4c52b9590bbb266171b95de9f91ad7563ff7917
39,1638137170,21e8,21e8a3daa28877ff0cd6aebdeb65ae0ee731992a1a944cdc1a3d041ec58e0499
40,1638137213,21e8a,21e8ac244078f07752cbbbc2a1a90091b92d1739ff564f09884c89c8db0f0d6c
41,1638137214,21e8a,21e8ab9198db83fead8db737c69bd682c10cac9d0eb1c4f1cf2470551ed3face
42,1638137222,21e8a,21e8abb1c02049122a50a18f77a67b1ba7b489c612c8fa1d6f698dcade7844ff
43,1638137223,21e8a,21e8a5d85c19f2604f6d6bf9491272ff633eac7d8e99e6bc1eb49a808ada567d
44,1638137224,21e8a,21e8accbceaed5b263447f90e403927358810fffff564e4652209fda45fcd385
